id,no_of_persons,no_of_persons:confidence,person_plural,person_plural:confidence,person_singular_dom,person_singular_dom:confidence,person_singular_nondom,person_singular_nondom:confidence,image_url
882949472,"no_person
several_persons_no_single_persons_depiction_is_dominant","0.6667
0.3333",gender_is_not_recognizable,0.3333,,0,,0,http://upload.wikimedia.org/wikipedia/commons/8/84/Altena_-_J%C3%A4gerplatz_-_Drahtzieher_03_ies.jpg
882949473,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/6/6f/Metallzaun_vor_Hecke_und_Mauer.jpg
882949474,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/1/19/Pirna_Schandauer_Stra%C3%9Fe_Werbung_Margonwasser_%2802-2%29.jpg
882949475,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/f/ff/Lautenmacher-1568.png
882949476,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/de/1/17/Sprayhood.jpg
882949477,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/de/8/89/Sonnensegel.jpg
882949478,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/f/fc/Sailmaker_sewing_machine_station_2.JPG
882949480,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/4/4f/Sailmaker_sewing_machine_station_1.JPG
882949481,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/7/72/Sailmaking.jpg
882949482,"several_persons_but_one_persons_depiction_is_dominant
no_person","0.6667
0.3333",,0,female,0.6667,,0,http://upload.wikimedia.org/wikipedia/commons/a/a4/Fotothek_df_tg_0008492_St%C3%A4ndebuch_%5E_Beruf_%5E_Handwerk_%5E_Segel.jpg
882949483,"one_person
no_person","0.6667
0.3333",,0,,0,"gender_is_not_recognizable
female","0.3333
0.3333",http://upload.wikimedia.org/wikipedia/commons/a/a9/Sailmaker%27s_palm_and_needle.JPG
882949484,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/2/28/Kevlar-Carbon-Sail.JPG
882949485,"several_persons_but_one_persons_depiction_is_dominant
several_persons_no_single_persons_depiction_is_dominant","0.6667
0.3333",only_male,0.3333,male,0.6667,,0,http://upload.wikimedia.org/wikipedia/commons/0/00/Goldschlager-1568.png
882949486,several_persons_no_single_persons_depiction_is_dominant,1,"only_male
gender_is_not_recognizable","0.6667
0.3333",,0,,0,http://upload.wikimedia.org/wikipedia/commons/d/dd/Burma04_261.JPG
882949487,"one_person
no_person","0.6562
0.3438",,0,,0,male,0.6562,http://upload.wikimedia.org/wikipedia/commons/f/fc/Denkmal_Goldschlaeger_fcm.jpg
882949488,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/c/c8/Estrichglaettung_3.jpg
882949489,several_persons_no_single_persons_depiction_is_dominant,1,only_male,1,,0,,0,http://upload.wikimedia.org/wikipedia/de/8/8f/Wiki_Schneckenbohrtechnik_3.jpg
882949490,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/c/ce/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B0%D0%BD%D1%81%D1%8C%D0%B5_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%93%D1%80%D0%B5%D1%86%D0%B0.JPG
882949491,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/f/fd/GDR_Army_OR6_Feldwebel.gif
882949492,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/a/a2/GDR_Navy_OR6_Meister.gif
882949493,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/7/72/FeldwebelEpaulette.jpg
882949494,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/c/c6/FW_cam_slv.gif
882949495,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/0/07/K.u.k._Feldwebel.png
882949496,several_persons_no_single_persons_depiction_is_dominant,1,only_male,1,,0,,0,http://upload.wikimedia.org/wikipedia/commons/1/19/Fotothek_df_n-15_0000158_Facharbeiter_f%C3%BCr_Fertigungsmittel.jpg
882949497,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/e/e5/Scross_helmsman.jpg
882949498,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/d/d1/Hoher_CO-Gehalt_an_einer_stark_verschmutzten_Gas-Therme.jpg
882949499,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/c/c7/Kaminkehrer1.jpg
882949500,several_persons_no_single_persons_depiction_is_dominant,1,mixed_equal_amount_of_male_and_female_persons,1,,0,,0,http://upload.wikimedia.org/wikipedia/commons/5/51/Kaminfegerausbildung-2008_09_10_038.jpg
882949501,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/a/ab/Chimneysweep.png
882949502,one_person,1,,0,,0,gender_is_not_recognizable,1,http://upload.wikimedia.org/wikipedia/commons/e/e6/Defektes_Abgasrohr_einer_Gas-Heizung.jpg
882949503,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/de/9/91/Kaminfeger_2008.JPG
882949504,one_person,1,,0,,0,"male
female","0.6562
0.3438",http://upload.wikimedia.org/wikipedia/commons/5/55/Ramoneur_savoie.jpg
882949505,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/4/4d/Abbatia_CIST_Sbernadiensis_27a.jpg
882949506,one_person,1,,0,,0,"female
gender_is_not_recognizable","0.6667
0.3333",http://upload.wikimedia.org/wikipedia/commons/7/78/Porzellanmanufaktur_Ludwigsburg_Rosentraummalen.jpg
882949507,"several_persons_but_one_persons_depiction_is_dominant
one_person","0.6452
0.3548",,0,female,0.6452,female,0.3548,http://upload.wikimedia.org/wikipedia/commons/1/12/Bundesarchiv_Bild_183-1989-0103-010%2C_Weimar-Porzellan%2C_Malerei.jpg
882949508,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/1/15/Kersting_-_Entwurf_f%C3%BCr_einen_Wandteller_-_1818.jpg
882949509,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/c/c9/Cologne_Germany_Kaufmannsgehilfenbrief-IHK-K%C3%B6ln-Innenseite.jpg
882949510,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/0/06/Umbrella.png
882949511,several_persons_no_single_persons_depiction_is_dominant,1,mixed_but_predominantly_female_persons,1,,0,,0,http://upload.wikimedia.org/wikipedia/commons/6/6b/Anton_Doll_Schirmverk%C3%A4ufer.jpg
882949512,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/4/45/Ombrelles.jpg
882949513,"several_persons_no_single_persons_depiction_is_dominant
several_persons_but_one_persons_depiction_is_dominant","0.6667
0.3333","mixed_equal_amount_of_male_and_female_persons
mixed_but_predominantly_male_persons","0.3333
0.3333",male,0.3333,,0,http://upload.wikimedia.org/wikipedia/commons/d/d4/Gustave_Caillebotte_-_Jour_de_pluie_%C3%A0_Paris.jpg
882949514,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/1/14/BlueWhaleSkeleton.jpg
882949515,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/1/1d/Europasaurus_Praeparation.JPG
882949516,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/5/56/Schlachter_P7100251a.JPG
882949517,one_person,1,,0,,0,"male
gender_is_not_recognizable","0.6667
0.3333",http://upload.wikimedia.org/wikipedia/commons/8/83/Hafenarbeit.JPG
882949518,"several_persons_no_single_persons_depiction_is_dominant
several_persons_but_one_persons_depiction_is_dominant","0.6562
0.3438",only_male,0.6562,male,0.3438,,0,http://upload.wikimedia.org/wikipedia/commons/4/48/Dockers%27_work_difference.jpg
882949519,"several_persons_no_single_persons_depiction_is_dominant
several_persons_but_one_persons_depiction_is_dominant","0.6667
0.3333","only_male
mixed_but_predominantly_male_persons","0.3333
0.3333",male,0.3333,,0,http://upload.wikimedia.org/wikipedia/commons/6/6c/Hamburger_Hafen_1900_Kaiarbeiter_am_Kai.jpg
882949520,"no_person
one_person","0.6667
0.3333",,0,,0,gender_is_not_recognizable,0.3333,http://upload.wikimedia.org/wikipedia/commons/b/b3/Hafenarbeit1.JPG
882949521,"several_persons_no_single_persons_depiction_is_dominant
several_persons_but_one_persons_depiction_is_dominant","0.6667
0.3333","only_male
mixed_but_predominantly_male_persons","0.3333
0.3333",male,0.3333,,0,http://upload.wikimedia.org/wikipedia/commons/4/48/1893-Gaengev-Aug-Schacht.gif
